Total,average,vaccine1 ,vaccine2,vaccine3,Game1,Game2,,Bins,,Bin,Frequency
15732.3,26.385,199.57,199.562,200.868,0.099697642,0.04936517,,,,,
15814.6,26.38766667,200.126,200.04,199.834,0.099677769,0.049625624,,,,,
15837.9,26.38866667,200.218,200.073,199.709,0.099190351,0.049875023,,,,,
15977,26.38883333,200.992,199.488,199.52,0.099394774,0.050452156,,,,,
15781.1,26.39283333,199.945,200.165,199.89,0.098405741,0.049895773,,,,,
15749.6,26.3965,199.903,199.724,200.373,0.099463944,0.049437201,,,,,
15845.8,26.3965,199.883,200.085,200.032,0.09917452,0.050013015,,,,,
15731.7,26.39766667,200.062,200.194,199.744,0.099279791,0.0492781,,,,,
15801.9,26.398,200.399,199.692,199.909,0.099964458,0.04943299,,,,,
15660.2,26.40416667,199.955,199.83,200.215,0.098733209,0.049137452,,,,,
15842.5,26.40433333,199.863,199.886,200.251,0.099183452,0.050031433,,,,,
15728.1,26.406,199.794,199.617,200.589,0.099031616,0.049506591,,,,,
15813,26.40783333,199.805,199.866,200.329,0.099407719,0.049822532,,,,,
15931.2,26.40966667,200.163,199.739,200.098,0.10024655,0.050112378,,,,,
15759.6,26.41033333,200.247,199.925,199.828,0.099308699,0.049415886,,,,,
15792.4,26.42133333,200.309,200.111,199.58,0.100352638,0.049209451,,,,,
15838.6,26.4215,200.644,199.231,200.125,0.098633794,0.050056354,,,,,
15855.4,26.42183333,199.984,199.854,200.162,0.099560908,0.049921201,,,,,
15844.7,26.42533333,199.602,200.557,199.841,0.099712496,0.049844901,,,,,
15885.5,26.42566667,199.845,200.166,199.989,0.099235612,0.05022091,,,,,
15819,26.42816667,199.984,200.607,199.409,0.099299373,0.049740183,,,,,
15780.9,26.4395,199.704,199.996,200.3,0.099806016,0.049502191,,,,,
15833.3,26.4405,200.04,199.675,200.285,0.09922179,0.049947596,,,,,
15831,26.44433333,200.622,200,199.378,0.099983911,0.049472568,,,,,
15864.3,26.4505,200.153,200.378,199.469,0.099528929,0.049894002,,,,,
15785.8,26.453,200.237,199.595,200.168,0.099191648,0.049650758,,,,,
15806.7,26.46416667,200.23,199.667,200.103,0.099934621,0.049515029,,,,,
15765.9,26.465,200.058,199.552,200.39,0.0988337,0.049726846,,,,,
15784.7,26.47583333,199.676,200.238,200.086,0.099419934,0.049614611,,,,,
15843.6,26.47683333,200.239,200.379,199.382,0.100038542,0.04958076,,,,,
15826.2,26.48816667,199.329,200.692,199.979,0.100348986,0.049580724,,,,,
15812.1,26.49266667,200.169,200.401,199.43,0.099727916,0.049530054,,,,,
15905.7,26.49916667,200.071,199.87,200.059,0.09968552,0.050170821,,,,,
15820,26.50733333,200.284,200.101,199.615,0.098900596,0.04984737,,,,,
15766.6,26.5095,199.97,199.694,200.336,0.099531023,0.049484974,,,,,
15792.5,26.551,199.674,200.401,199.925,0.098510182,0.049960336,,,,,
15825.7,26.552,200.045,200.254,199.701,0.09890118,0.049934166,,,,,
15792.9,26.62833333,200.026,199.654,200.32,0.099238806,0.049720315,,,,,
